slug	cts_urn	tlg
blaesus.fragmentum	urn:cts:greekLit:tlg1227.tlg001	tlg1227.tlg001
boethus.fragmenta	urn:cts:greekLit:tlg2397.tlg001	tlg2397.tlg001
boidas.testimonium	urn:cts:greekLit:tlg2230.tlg001	tlg2230.tlg001
bolus.testimonium	urn:cts:greekLit:tlg1306.tlg006	tlg1306.tlg006
brotinus.testimonia	urn:cts:greekLit:tlg1230.tlg002	tlg1230.tlg002
bruti-epistulae.epistulae	urn:cts:greekLit:tlg1803.tlg001	tlg1803.tlg001
bryson.fragmentum	urn:cts:greekLit:tlg1231.tlg001	tlg1231.tlg001
butherus.fragmentum	urn:cts:greekLit:tlg1232.tlg001	tlg1232.tlg001
callias.fragmenta	urn:cts:greekLit:tlg0426.tlg001	tlg0426.tlg001
callicratidas.fragmenta	urn:cts:greekLit:tlg1237.tlg001	tlg1237.tlg001
callimachus.aetia	urn:cts:greekLit:tlg0533.tlg006	tlg0533.tlg006
callimachus.callimachea-schneider-v1	urn:cts:greekLit:tlg0533.tlg001	tlg0533.tlg001
callimachus.epigrammata	urn:cts:greekLit:tlg0533.tlg003	tlg0533.tlg003
callimachus.epigrammata-2	urn:cts:greekLit:tlg0533.tlg004	tlg0533.tlg004
callimachus.hecala	urn:cts:greekLit:tlg0533.tlg009	tlg0533.tlg009
callimachus.iambi	urn:cts:greekLit:tlg0533.tlg007	tlg0533.tlg007
callimachus.in-apollinem-hymn-2	urn:cts:greekLit:tlg0533.tlg016	tlg0533.tlg016
callimachus.in-cererem-hymn-6	urn:cts:greekLit:tlg0533.tlg020	tlg0533.tlg020
callimachus.in-delum-hymn-4	urn:cts:greekLit:tlg0533.tlg018	tlg0533.tlg018
callimachus.in-dianam-hymn-3	urn:cts:greekLit:tlg0533.tlg017	tlg0533.tlg017
callimachus.in-jovem-hymn-1	urn:cts:greekLit:tlg0533.tlg015	tlg0533.tlg015
callimachus.in-lavacrum-palladis-hymn-5	urn:cts:greekLit:tlg0533.tlg019	tlg0533.tlg019
callinicus-soph.fragmenta	urn:cts:greekLit:tlg2189.tlg002	tlg2189.tlg002
callinicus-soph.fragmenta-2	urn:cts:greekLit:tlg2189.tlg003	tlg2189.tlg003
callinus.fragmenta	urn:cts:greekLit:tlg0243.tlg001	tlg0243.tlg001
calliphon-et-democedes.testimonia	urn:cts:greekLit:tlg2218.tlg001	tlg2218.tlg001
callippus-corinthius.fragmenta	urn:cts:greekLit:tlg2270.tlg002	tlg2270.tlg002
callistratus-soph.statuarum-descriptiones	urn:cts:greekLit:tlg4091.tlg001	tlg4091.tlg001
callixenus-rhodius.fragmenta	urn:cts:greekLit:tlg1240.tlg003	tlg1240.tlg003
callixenus.fragmenta	urn:cts:greekLit:tlg1240.tlg001	tlg1240.tlg001
cantharus.fragmenta	urn:cts:greekLit:tlg0428.tlg001	tlg0428.tlg001
canticum-euripidis.ex-orestis-stasimo-i	urn:cts:greekLit:tlg2138.tlg001	tlg2138.tlg001
capito.fragmenta	urn:cts:greekLit:tlg2506.tlg003	tlg2506.tlg003
carcinus-junior.fragmenta	urn:cts:greekLit:tlg0327.tlg001	tlg0327.tlg001
carmina-convivialia-pmg.fragmenta	urn:cts:greekLit:tlg0296.tlg001	tlg0296.tlg001
carmina-delphis-inventa.carmina-delphis-inventa	urn:cts:greekLit:tlg0362.tlg001	tlg0362.tlg001
carmina-popularia-pmg.fragmenta	urn:cts:greekLit:tlg0295.tlg001	tlg0295.tlg001
carystius.fragmenta	urn:cts:greekLit:tlg1245.tlg001	tlg1245.tlg001
cassius-dio.historiae-romanae	urn:cts:greekLit:tlg0385.tlg001	tlg0385.tlg001
cassius-iatrosophista.quaestiones-medicae-et-problemata-physica	urn:cts:greekLit:tlg0733.tlg001	tlg0733.tlg001
cassius-longinus.ars-rhetorica	urn:cts:greekLit:tlg2178.tlg001	tlg2178.tlg001
cassius-longinus.excerpta	urn:cts:greekLit:tlg2178.tlg002	tlg2178.tlg002
cassius-longinus.fragmenta	urn:cts:greekLit:tlg2178.tlg004	tlg2178.tlg004
catenae-novum-testamentum.catena-in-acta-catena-andreae-e-cod-oxon-coll-nov-58	urn:cts:greekLit:tlg4102.tlg008	tlg4102.tlg008
catenae-novum-testamentum.catena-in-epistulam-ad-colossenses-typus-parisinus-e-cod	urn:cts:greekLit:tlg4102.tlg022	tlg4102.tlg022
catenae-novum-testamentum.catena-in-epistulam-ad-ephesios-typus-parisinus-e-cod-coislin	urn:cts:greekLit:tlg4102.tlg020	tlg4102.tlg020
catenae-novum-testamentum.catena-in-epistulam-ad-galatas-typus-parisinus-e-cod-coislin	urn:cts:greekLit:tlg4102.tlg019	tlg4102.tlg019
catenae-novum-testamentum.catena-in-epistulam-ad-hebraeos-e-cod-paris-coislin-204	urn:cts:greekLit:tlg4102.tlg038	tlg4102.tlg038
catenae-novum-testamentum.catena-in-epistulam-ad-philemonem-e-cod-paris-coislin-204	urn:cts:greekLit:tlg4102.tlg037	tlg4102.tlg037
catenae-novum-testamentum.catena-in-epistulam-ad-philippenses-typus-parisinus-e-cod	urn:cts:greekLit:tlg4102.tlg021	tlg4102.tlg021
catenae-novum-testamentum.catena-in-epistulam-ad-romanos-typus-monacensis-e-cod-monac-gr	urn:cts:greekLit:tlg4102.tlg011	tlg4102.tlg011
catenae-novum-testamentum.catena-in-epistulam-ad-romanos-typus-vaticanus-e-cod-oxon-bodl	urn:cts:greekLit:tlg4102.tlg010	tlg4102.tlg010
catenae-novum-testamentum.catena-in-epistulam-ad-titum-e-cod-paris-coislin-204	urn:cts:greekLit:tlg4102.tlg036	tlg4102.tlg036
catenae-novum-testamentum.catena-in-epistulam-i-ad-corinthios-typus-vaticanus-e-cod-paris	urn:cts:greekLit:tlg4102.tlg012	tlg4102.tlg012
catenae-novum-testamentum.catena-in-epistulam-i-ad-thessalonicenses-typus-parisinus-e-cod	urn:cts:greekLit:tlg4102.tlg023	tlg4102.tlg023
catenae-novum-testamentum.catena-in-epistulam-i-ad-timotheum-e-cod-paris-coislin-204	urn:cts:greekLit:tlg4102.tlg034	tlg4102.tlg034
catenae-novum-testamentum.catena-in-epistulam-ii-ad-corinthios-catena-pseudooecumenii-e	urn:cts:greekLit:tlg4102.tlg013	tlg4102.tlg013
catenae-novum-testamentum.catena-in-epistulam-ii-ad-thessalonicenses-typus-parisinus-e-cod	urn:cts:greekLit:tlg4102.tlg024	tlg4102.tlg024
catenae-novum-testamentum.catena-in-epistulam-ii-ad-timotheum-e-cod-paris-coislin-204	urn:cts:greekLit:tlg4102.tlg035	tlg4102.tlg035
catenae-novum-testamentum.catena-in-epistulam-jacobi-catena-andreae-e-cod-oxon-coll-nov	urn:cts:greekLit:tlg4102.tlg040	tlg4102.tlg040
catenae-novum-testamentum.catena-in-epistulam-joannis-i-catena-andreae-e-cod-oxon-coll	urn:cts:greekLit:tlg4102.tlg043	tlg4102.tlg043
catenae-novum-testamentum.catena-in-epistulam-joannis-ii-catena-andreae-e-cod-oxon-coll	urn:cts:greekLit:tlg4102.tlg044	tlg4102.tlg044
catenae-novum-testamentum.catena-in-epistulam-joannis-iii-catena-andreae-e-cod-oxon-coll	urn:cts:greekLit:tlg4102.tlg045	tlg4102.tlg045
catenae-novum-testamentum.catena-in-epistulam-juda-catena-andreae-e-cod-oxon-coll-nov	urn:cts:greekLit:tlg4102.tlg046	tlg4102.tlg046
catenae-novum-testamentum.catena-in-epistulam-petri-i-catena-andreae-e-cod-oxon-coll	urn:cts:greekLit:tlg4102.tlg041	tlg4102.tlg041
catenae-novum-testamentum.catena-in-epistulam-petri-ii-catena-andreae-e-cod-oxon-coll	urn:cts:greekLit:tlg4102.tlg042	tlg4102.tlg042
catenae-novum-testamentum.catena-in-joannem-catena-integra-e-codd-paris-coislin-23	urn:cts:greekLit:tlg4102.tlg005	tlg4102.tlg005
catenae-novum-testamentum.catena-in-lucam-typus-b-e-codd-paris-coislin-23-oxon-bodl	urn:cts:greekLit:tlg4102.tlg004	tlg4102.tlg004
catenae-novum-testamentum.catena-in-marcum-recensio-ii-e-codd-oxon-bodl-laud-33	urn:cts:greekLit:tlg4102.tlg002	tlg4102.tlg002
catenae-novum-testamentum.catena-in-matthaeum-catena-integra-e-cod-paris-coislin-gr-23	urn:cts:greekLit:tlg4102.tlg001	tlg4102.tlg001
catenae-novum-testamentum.supplementum-et-varietas-lectionis-ad-catenam-in-evangelium-sancti	urn:cts:greekLit:tlg4102.tlg006	tlg4102.tlg006
catenae-novum-testamentum.supplementum-et-varietas-lectionis-ad-catenam-in-evangelium-sancti-2	urn:cts:greekLit:tlg4102.tlg007	tlg4102.tlg007
catenae-novum-testamentum.supplementum-et-varietas-lectionis-ad-commentarium-chrysostomi-in	urn:cts:greekLit:tlg4102.tlg003	tlg4102.tlg003
cebes.cebetis-tabula	urn:cts:greekLit:tlg1247.tlg001	tlg1247.tlg001
cephalion.fragmenta	urn:cts:greekLit:tlg1249.tlg003	tlg1249.tlg003
cephisodorus.fragmenta	urn:cts:greekLit:tlg0429.tlg001	tlg0429.tlg001
cercidas.fragmenta	urn:cts:greekLit:tlg1250.tlg001	tlg1250.tlg001
cercops.testimonium	urn:cts:greekLit:tlg2286.tlg001	tlg2286.tlg001
certamen-homeri-et-hesiodi.certamen-homeri-et-hesiodi	urn:cts:greekLit:tlg1252.tlg002	tlg1252.tlg002
chaeremon-history.fragmenta	urn:cts:greekLit:tlg2424.tlg003	tlg2424.tlg003
chaeremon-tragedy.fragmenta	urn:cts:greekLit:tlg0328.tlg001	tlg0328.tlg001
chaeremon.fragmenta	urn:cts:greekLit:tlg2424.tlg001	tlg2424.tlg001
charax.fragmenta	urn:cts:greekLit:tlg1254.tlg003	tlg1254.tlg003
chariclides.fragmentum	urn:cts:greekLit:tlg0430.tlg001	tlg0430.tlg001
chariton.de-chaerea-et-callirhoe	urn:cts:greekLit:tlg0554.tlg001	tlg0554.tlg001
charon.fragmenta	urn:cts:greekLit:tlg1258.tlg003	tlg1258.tlg003
chionides.fragmenta	urn:cts:greekLit:tlg0431.tlg001	tlg0431.tlg001
chionis-epistulae.epistulae	urn:cts:greekLit:tlg0041.tlg001	tlg0041.tlg001
choerilus-tragedy.fragmenta	urn:cts:greekLit:tlg0302.tlg001	tlg0302.tlg001
choerilus.fragmenta-epica	urn:cts:greekLit:tlg1263.tlg005	tlg1263.tlg005
choricius.opera	urn:cts:greekLit:tlg4094.tlg001	tlg4094.tlg001
chronicon-paschale.chronicon-paschale	urn:cts:greekLit:tlg2371.tlg001	tlg2371.tlg001
chrysermus.fragmenta	urn:cts:greekLit:tlg2195.tlg002	tlg2195.tlg002
chrysippus-philosophy.fragmenta-ad-singulos-libros-relata	urn:cts:greekLit:tlg1264.tlg004	tlg1264.tlg004
chrysippus-philosophy.fragmenta-logica-et-physica	urn:cts:greekLit:tlg1264.tlg001	tlg1264.tlg001
chrysippus-philosophy.fragmenta-moralia	urn:cts:greekLit:tlg1264.tlg002	tlg1264.tlg002
chrysippus-philosophy.fragmenta-quae-ad-explicationem-carminum-homericorum-pertinent	urn:cts:greekLit:tlg1264.tlg003	tlg1264.tlg003
chrysippus.fragmenta	urn:cts:greekLit:tlg2559.tlg002	tlg2559.tlg002
cineas-thessalus.fragmenta	urn:cts:greekLit:tlg2417.tlg003	tlg2417.tlg003
cinesias.fragmentum	urn:cts:greekLit:tlg0375.tlg001	tlg0375.tlg001
claudius-aelianus.de-natura-animalium	urn:cts:greekLit:tlg0545.tlg001	tlg0545.tlg001
claudius-aelianus.epistulae-rusticae	urn:cts:greekLit:tlg0545.tlg003	tlg0545.tlg003
claudius-aelianus.fragmenta	urn:cts:greekLit:tlg0545.tlg004	tlg0545.tlg004
claudius-aelianus.varia-historia	urn:cts:greekLit:tlg0545.tlg002	tlg0545.tlg002
claudius-apollinarius.fragmenta	urn:cts:greekLit:tlg1163.tlg001	tlg1163.tlg001
claudius-iolaus.fragmenta	urn:cts:greekLit:tlg1268.tlg002	tlg1268.tlg002
claudius-ptolemaeus.apotelesmatica-tetrabiblos	urn:cts:greekLit:tlg0363.tlg007	tlg0363.tlg007
claudius-ptolemaeus.musica	urn:cts:greekLit:tlg0363.tlg011	tlg0363.tlg011
claudius-ptolemaeus.syntaxis-mathematica	urn:cts:greekLit:tlg0363.tlg001	tlg0363.tlg001
cleanthes.testimonia-et-fragmenta	urn:cts:greekLit:tlg1269.tlg002	tlg1269.tlg002
clearchus-comedy.fragmenta	urn:cts:greekLit:tlg0432.tlg001	tlg0432.tlg001
clearchus-philosophy.fragmenta	urn:cts:greekLit:tlg1270.tlg001	tlg1270.tlg001
clearchus-solensis.fragmenta	urn:cts:greekLit:tlg1270.tlg001	tlg1270.tlg001
clemens-alexandrinus.eclogae-propheticae	urn:cts:greekLit:tlg0555.tlg005	tlg0555.tlg005
clemens-alexandrinus.excerpta-ex-theodoto	urn:cts:greekLit:tlg0555.tlg007	tlg0555.tlg007
clemens-alexandrinus.fragmenta	urn:cts:greekLit:tlg0555.tlg008	tlg0555.tlg008
clemens-alexandrinus.paedagogus	urn:cts:greekLit:tlg0555.tlg002	tlg0555.tlg002
clemens-alexandrinus.protrepticus	urn:cts:greekLit:tlg0555.tlg001	tlg0555.tlg001
clemens-alexandrinus.quis-dives-salvetur	urn:cts:greekLit:tlg0555.tlg006	tlg0555.tlg006
clemens-alexandrinus.stromata	urn:cts:greekLit:tlg0555.tlg004	tlg0555.tlg004
clemens-romanus-et-clementina.contestatio-sp	urn:cts:greekLit:tlg1271.tlg004	tlg1271.tlg004
clemens-romanus-et-clementina.epistula-clementis-ad-jacobum-sp	urn:cts:greekLit:tlg1271.tlg005	tlg1271.tlg005
clemens-romanus-et-clementina.epistula-i-ad-corinthios	urn:cts:greekLit:tlg1271.tlg001	tlg1271.tlg001
clemens-romanus-et-clementina.epistula-ii-ad-corinthios-sp	urn:cts:greekLit:tlg1271.tlg002	tlg1271.tlg002
clemens-romanus-et-clementina.epistula-petri-ad-jacobum-sp	urn:cts:greekLit:tlg1271.tlg003	tlg1271.tlg003
clemens-romanus-et-clementina.epistulae-de-virginitate-sp	urn:cts:greekLit:tlg1271.tlg010	tlg1271.tlg010
clemens-romanus-et-clementina.homiliae-sp	urn:cts:greekLit:tlg1271.tlg006	tlg1271.tlg006
clemens-romanus-et-clementina.pseudoclementina-epitome-altera-auctore-symeone-metaphrasta-sp	urn:cts:greekLit:tlg1271.tlg011	tlg1271.tlg011
clemens-romanus-et-clementina.pseudoclementina-epitome-de-gestis-petri-praemetaphrastica-sp	urn:cts:greekLit:tlg1271.tlg012	tlg1271.tlg012
cleobulina-scriptor-aenigmatum.fragmenta	urn:cts:greekLit:tlg0244.tlg001	tlg0244.tlg001
cleomedes.de-motu-circulari-corporum-caelestium	urn:cts:greekLit:tlg1272.tlg001	tlg1272.tlg001
cleonides.introductio-harmonica	urn:cts:greekLit:tlg0361.tlg001	tlg0361.tlg001
cleostratus.testimonia	urn:cts:greekLit:tlg1275.tlg001	tlg1275.tlg001
clidemus-philosophy.testimonia	urn:cts:greekLit:tlg2305.tlg001	tlg2305.tlg001
clidemus.testimonia	urn:cts:greekLit:tlg2305.tlg001	tlg2305.tlg001
clinias.fragmenta	urn:cts:greekLit:tlg1277.tlg001	tlg1277.tlg001
clitonymus.fragmenta	urn:cts:greekLit:tlg2190.tlg002	tlg2190.tlg002
clitophon-rhodius.fragmenta	urn:cts:greekLit:tlg1281.tlg002	tlg1281.tlg002
clytus.fragmenta	urn:cts:greekLit:tlg1282.tlg002	tlg1282.tlg002
cogPG.PG003	urn:cts:greekLit:cogPG.PG003	cogPG.PG003
cogPG.PG005	urn:cts:greekLit:cogPG.PG005	cogPG.PG005
cogPG.PG006	urn:cts:greekLit:cogPG.PG006	cogPG.PG006
cogPG.PG067	urn:cts:greekLit:cogPG.PG067	cogPG.PG067
cogPG.PG087_1	urn:cts:greekLit:cogPG.PG087_1	cogPG.PG087_1
cogPG.PG101	urn:cts:greekLit:cogPG.PG101	cogPG.PG101
cogPG.PG107	urn:cts:greekLit:cogPG.PG107	cogPG.PG107
cogPG.PG109	urn:cts:greekLit:cogPG.PG109	cogPG.PG109
cogPG.PG112	urn:cts:greekLit:cogPG.PG112	cogPG.PG112
cogPG.PG113	urn:cts:greekLit:cogPG.PG113	cogPG.PG113
cogPG.PG118	urn:cts:greekLit:cogPG.PG118	cogPG.PG118
cogPG.PG122	urn:cts:greekLit:cogPG.PG122	cogPG.PG122
cogPG.PG123	urn:cts:greekLit:cogPG.PG123	cogPG.PG123
cogPG.PG124	urn:cts:greekLit:cogPG.PG124	cogPG.PG124
cogPG.PG125	urn:cts:greekLit:cogPG.PG125	cogPG.PG125
cogPG.PG126	urn:cts:greekLit:cogPG.PG126	cogPG.PG126
cogPG.PG134	urn:cts:greekLit:cogPG.PG134	cogPG.PG134
cogPG.PG139	urn:cts:greekLit:cogPG.PG139	cogPG.PG139
cogPG.PG146	urn:cts:greekLit:cogPG.PG146	cogPG.PG146
cogPG.PG151	urn:cts:greekLit:cogPG.PG151	cogPG.PG151
cogPG.PG155	urn:cts:greekLit:cogPG.PG155	cogPG.PG155
cogPG.PG157	urn:cts:greekLit:cogPG.PG157	cogPG.PG157
cogPG.PG158	urn:cts:greekLit:cogPG.PG158	cogPG.PG158
colluthus.raptio-helenae	urn:cts:greekLit:tlg4081.tlg001	tlg4081.tlg001
comarius.de-lapide-philosophorum-e-cod-paris-b-n-gr-2327-fol-74r	urn:cts:greekLit:tlg2632.tlg001	tlg2632.tlg001
comarius.peri-th-s-qei-as-kai-i-era-s-te-xnhs-tw-n-filoso-fwn-e	urn:cts:greekLit:tlg2632.tlgX01	tlg2632.tlgX01
comica-adespota-caf.fragmenta-incertorum-poetarum	urn:cts:greekLit:tlg0408.tlg001	tlg0408.tlg001
commentaria-in-dionysii-thracis-artem-grammaticam.prolegomena-vossiana	urn:cts:greekLit:tlg4175.tlg001	tlg4175.tlg001
conon.fragmenta	urn:cts:greekLit:tlg1285.tlg003	tlg1285.tlg003
constantinus-vii-porphyrogenitus-imperator.de-administrando-imperio	urn:cts:greekLit:tlg3023.tlg008	tlg3023.tlg008
constantinus-vii-porphyrogenitus-imperator.de-cerimoniis-aulae-byzantinae-lib-1-84-2-56	urn:cts:greekLit:tlg3023.tlg010	tlg3023.tlg010
constantinus-vii-porphyrogenitus-imperator.de-thematibus	urn:cts:greekLit:tlg3023.tlg009	tlg3023.tlg009
constantinus-vii-porphyrogenitus-imperator.de-virtutibus-et-vitiis	urn:cts:greekLit:tlg3023.tlg002	tlg3023.tlg002
corinna.fragmenta	urn:cts:greekLit:tlg0294.tlg001	tlg0294.tlg001
cornelius-alexander.fragmenta	urn:cts:greekLit:tlg0697.tlg003	tlg0697.tlg003
corpus-hermeticum.asklhpiw-eu-fronei-n	urn:cts:greekLit:tlg1286.tlg014	tlg1286.tlg014
corpus-hermeticum.dialogus-sine-titulo	urn:cts:greekLit:tlg1286.tlg002	tlg1286.tlg002
corpus-hermeticum.dialogus-sine-titulo-2	urn:cts:greekLit:tlg1286.tlg017	tlg1286.tlg017
corpus-hermeticum.fragmenta	urn:cts:greekLit:tlg1286.tlg020	tlg1286.tlg020
corpus-hermeticum.hieros-logos	urn:cts:greekLit:tlg1286.tlg003	tlg1286.tlg003
corpus-hermeticum.klei-s	urn:cts:greekLit:tlg1286.tlg010	tlg1286.tlg010
corpus-hermeticum.nou-s-pro-s-ermh-n	urn:cts:greekLit:tlg1286.tlg011	tlg1286.tlg011
corpus-hermeticum.oroi-asklhpiou-pro-s-ammwna-basile	urn:cts:greekLit:tlg1286.tlg016	tlg1286.tlg016
corpus-hermeticum.oti-e-n-mo-nw-tw-qew-gaqo-n-e-stin-llaxo-qi-de	urn:cts:greekLit:tlg1286.tlg006	tlg1286.tlg006
corpus-hermeticum.oti-me-giston-kako-n-e-n-nqrw-pois-h-peri-tou-qeou	urn:cts:greekLit:tlg1286.tlg007	tlg1286.tlg007
corpus-hermeticum.oti-ou-de-n-tw-n-o-ntwn-po-llutai-lla-ta-s-metabola-s	urn:cts:greekLit:tlg1286.tlg008	tlg1286.tlg008
corpus-hermeticum.peri-noh-sews-kai-ai-sqh-sews-o-ti-e-n-mo-nw-tw-qew	urn:cts:greekLit:tlg1286.tlg009	tlg1286.tlg009
corpus-hermeticum.peri-nou-koinou-pro-s-ta-t	urn:cts:greekLit:tlg1286.tlg012	tlg1286.tlg012
corpus-hermeticum.peri-th-s-u-po-tou-pa-qous-tou-sw-matos-e-mpodizome-nhs	urn:cts:greekLit:tlg1286.tlg018	tlg1286.tlg018
corpus-hermeticum.poimandres	urn:cts:greekLit:tlg1286.tlg001	tlg1286.tlg001
corpus-hermeticum.pro-s-n-ui-o-n-ta-t-e-n-o-rei-lo-gos-po-krufos-peri	urn:cts:greekLit:tlg1286.tlg013	tlg1286.tlg013
corpus-hermeticum.pro-s-ta-t-o-krath-r-h-mona-s	urn:cts:greekLit:tlg1286.tlg004	tlg1286.tlg004
corpus-hermeticum.pro-s-ta-t-ui-o-n-o-ti-fanh-s-qeo-s-fanerw-tato-s-e-stin	urn:cts:greekLit:tlg1286.tlg005	tlg1286.tlg005
cosmas-hieromonachus.ermhnei-th-s-e-pisth-mhs-th-s-xrusopoii-as-i-eromona-xou-tou	urn:cts:greekLit:tlg4330.tlg001	tlg4330.tlg001
cougny-appendix-nova.didot-anthologia-v3		note:edition-scoped work: Cougny, Epigrammatum Anthologia Palatina... et appendice nova, vol. III (Didot 1890); formerly mislabeled thomas-patricius-anthol-dubner-v3 with a fabricated tlg4049.tlg001 claim (tlg4049 not in the TLG canon); no tlg urn - no open edition of the appendix exists
crantor.fragmenta	urn:cts:greekLit:tlg1287.tlg001	tlg1287.tlg001
craterus.fragmenta	urn:cts:greekLit:tlg1288.tlg001	tlg1288.tlg001
crates-atheniensis.fragmenta	urn:cts:greekLit:tlg1289.tlg002	tlg1289.tlg002
crates-comedy.fragmenta	urn:cts:greekLit:tlg0433.tlg001	tlg0433.tlg001
crates-poet-phil.fragmenta	urn:cts:greekLit:tlg0336.tlg002	tlg0336.tlg002
cratetis-epistulae.epistulae	urn:cts:greekLit:tlg0623.tlg001	tlg0623.tlg001
crateuas.fragmenta	urn:cts:greekLit:tlg0657.tlg001	tlg0657.tlg001
cratinus-junior.fragmenta	urn:cts:greekLit:tlg0435.tlg001	tlg0435.tlg001
cratinus.fragmenta	urn:cts:greekLit:tlg0434.tlg001	tlg0434.tlg001
cratippus.fragmenta	urn:cts:greekLit:tlg1907.tlg003	tlg1907.tlg003
cratylus.testimonia	urn:cts:greekLit:tlg2291.tlg001	tlg2291.tlg001
creon-vel-paeon-amathusius.fragmenta	urn:cts:greekLit:tlg2512.tlg002	tlg2512.tlg002
creophylus.fragmenta	urn:cts:greekLit:tlg1291.tlg002	tlg1291.tlg002
crinis.fragmenta	urn:cts:greekLit:tlg1293.tlg001	tlg1293.tlg001
critias.fragmenta	urn:cts:greekLit:tlg0319.tlg001	tlg0319.tlg001
critias.fragmenta-3	urn:cts:greekLit:tlg0319.tlg004	tlg0319.tlg004
critias.testimonia	urn:cts:greekLit:tlg0319.tlg003	tlg0319.tlg003
critolaus-history.fragmenta	urn:cts:greekLit:tlg2552.tlg002	tlg2552.tlg002
criton-pieriota.fragmenta	urn:cts:greekLit:tlg1867.tlg003	tlg1867.tlg003
crobylus.fragmenta	urn:cts:greekLit:tlg0437.tlg001	tlg0437.tlg001
ctesias.fragmenta	urn:cts:greekLit:tlg0845.tlg002	tlg0845.tlg002
ctesiphon.fragmenta	urn:cts:greekLit:tlg2201.tlg002	tlg2201.tlg002
cypria.cypria-fragmenta	urn:cts:greekLit:tlg1296.tlg001	tlg1296.tlg001
cyranides.cyranides	urn:cts:greekLit:tlg1482.tlg001	tlg1482.tlg001
cyrillus-scr-eccl.catecheses-ad-illuminandos-1-18	urn:cts:greekLit:tlg2110.tlg003	tlg2110.tlg003
cyrillus-scr-eccl.epistula-ad-constantium-imperatorem	urn:cts:greekLit:tlg2110.tlg013	tlg2110.tlg013
cyrillus-scr-eccl.homilia-in-occursum-domini-sp	urn:cts:greekLit:tlg2110.tlg007	tlg2110.tlg007
cyrillus-scr-eccl.mystagogiae-1-5-sp	urn:cts:greekLit:tlg2110.tlg002	tlg2110.tlg002
cyrillus-scr-eccl.procatechesis	urn:cts:greekLit:tlg2110.tlg001	tlg2110.tlg001
cyrillus-theology.ad-calosyrium-epist-83	urn:cts:greekLit:tlg4090.tlg022	tlg4090.tlg022
cyrillus-theology.ad-euoptium-episcopum-ptolemaidis-epist-84	urn:cts:greekLit:tlg4090.tlgX48	tlg4090.tlgX48
cyrillus-theology.apologeticus-ad-theodosium-imperatorem	urn:cts:greekLit:tlg4090.tlgX30	tlg4090.tlgX30
cyrillus-theology.apologia-xii-anathematismorum-contra-theodoretum	urn:cts:greekLit:tlg4090.tlgX49	tlg4090.tlgX49
cyrillus-theology.apologia-xii-capitulorum-contra-orientales	urn:cts:greekLit:tlg4090.tlgX53	tlg4090.tlgX53
cyrillus-theology.collectio-dictorum-veteris-testamenti-sp	urn:cts:greekLit:tlg4090.tlg124	tlg4090.tlg124
cyrillus-theology.commentarii-in-joannem	urn:cts:greekLit:tlg4090.tlg002	tlg4090.tlg002
cyrillus-theology.commentarii-in-lucam-in-catenis	urn:cts:greekLit:tlg4090.tlg108	tlg4090.tlg108
cyrillus-theology.commentarius-in-isaiam-prophetam	urn:cts:greekLit:tlg4090.tlg103	tlg4090.tlg103
cyrillus-theology.commentarius-in-xii-prophetas-minores	urn:cts:greekLit:tlg4090.tlg001	tlg4090.tlg001
cyrillus-theology.contra-julianum-lib-1-2	urn:cts:greekLit:tlg4090.tlg176	tlg4090.tlg176
cyrillus-theology.de-adoratione-et-cultu-in-spiritu-et-veritate	urn:cts:greekLit:tlg4090.tlg096	tlg4090.tlg096
cyrillus-theology.de-incarnatione-dei-verbi-homilia-diversa-15	urn:cts:greekLit:tlg4090.tlgX78	tlg4090.tlgX78
cyrillus-theology.de-incarnatione-unigeniti	urn:cts:greekLit:tlg4090.tlg026	tlg4090.tlg026
cyrillus-theology.de-sancta-trinitate-dialogi-ivii	urn:cts:greekLit:tlg4090.tlg023	tlg4090.tlg023
cyrillus-theology.de-sancta-trinitate-sp	urn:cts:greekLit:tlg4090.tlg123	tlg4090.tlg123
cyrillus-theology.dialogus-cum-nestorio-sp	urn:cts:greekLit:tlg4090.tlg110	tlg4090.tlg110
cyrillus-theology.epistulae-paschales-sive-homiliae-paschales-epist-1-30	urn:cts:greekLit:tlg4090.tlg032	tlg4090.tlg032
cyrillus-theology.explanatio-xii-capitulorum	urn:cts:greekLit:tlg4090.tlgX44	tlg4090.tlgX44
cyrillus-theology.expositio-in-psalmos	urn:cts:greekLit:tlg4090.tlg100	tlg4090.tlg100
cyrillus-theology.expositio-in-psalmos-prooemium	urn:cts:greekLit:tlg4090.tlg125	tlg4090.tlg125
cyrillus-theology.fragmenta-in-canticum-canticorum	urn:cts:greekLit:tlg4090.tlg102	tlg4090.tlg102
cyrillus-theology.fragmenta-in-libros-regum	urn:cts:greekLit:tlg4090.tlg099	tlg4090.tlg099
cyrillus-theology.fragmenta-in-sancti-pauli-epistulam-ad-hebraeos	urn:cts:greekLit:tlg4090.tlg006	tlg4090.tlg006
cyrillus-theology.fragmenta-in-sancti-pauli-epistulam-ad-romanos	urn:cts:greekLit:tlg4090.tlg003	tlg4090.tlg003
cyrillus-theology.fragmenta-in-sancti-pauli-epistulam-ii-ad-corinthios	urn:cts:greekLit:tlg4090.tlg005	tlg4090.tlg005
cyrillus-theology.glaphyra-in-pentateuchum	urn:cts:greekLit:tlg4090.tlg097	tlg4090.tlg097
