slug	work_id	title	author	author_id	cts_urn	tlg	wikidata	source	edition	license	passages	tokens	tokens_lemmatized	correction	unattested_rate	scheme_class	scheme	scheme_depth	sha256
galenus.de-usu-partium	ogc001502	De Usu Partium	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg017	tlg0057.tlg017		first1k	1st1K-grc1	CC-BY-SA-4.0	390	194128	193001	not-ocr		logical-numeric	ref.sub	2	f35c86b497f76bcfa52c7ea99b8f62eb55f0947fa0a614c6aa85396575719910
galenus.de-usu-pulsuum	ogc001503	De Usu Pulsuum	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg031	tlg0057.tlg031		first1k	1st1K-grc1	CC-BY-SA-4.0	8	4463	4448	not-ocr		logical-numeric	ref	1	fbb0a39aa3592c8f7ceeaeff4e0c2b5bf0d78be89fdf1d42d47339c08d9fed36
galenus.de-uteri-dissectione	ogc001504	De Uteri Dissectione	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg016	tlg0057.tlg016		first1k	1st1K-grc1	CC-BY-SA-4.0	10	3256	3235	not-ocr		logical-numeric	ref	1	227c23baafaed9a315d239148485f2c4f6df8a56ca44e6ddccabac65858a883f
galenus.de-utilitate-respirationis-liber	ogc001505	De Utilitate Respirationis Liber	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg020	tlg0057.tlg020		first1k	1st1K-grc1	CC-BY-SA-4.0	5	6045	5997	not-ocr		logical-numeric	ref	1	395663cb400dbd90b401a7f9cc5e52d7d02d24dd92e678142d486ac6b0b10259
galenus.de-venae-sectione-adversus-erasistrateos-romae-degentes	ogc001506	De Venae Sectione Adversus Erasistrateos Romae Degentes	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg069	tlg0057.tlg069		first1k	1st1K-grc1	CC-BY-SA-4.0	9	9034	8953	not-ocr		logical-numeric	ref	1	ec2b90d68c03a7b9e36989f5ae74abccde9cd1f9d73581634c110ac9d72dd717
galenus.de-venae-sectione-adversus-erasistratum	ogc001507	De Venae Sectione Adversus Erasistratum	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg068	tlg0057.tlg068		first1k	1st1K-grc1	CC-BY-SA-4.0	9	5965	5919	not-ocr		logical-numeric	ref	1	d1fc3d292d9c570f73709e2d340daa6c23586bc7768fd778ccf0b694e3110db7
galenus.de-venarum-arteriarumque-dissectione	ogc001508	De Venarum Arteriarumque Dissectione	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg013	tlg0057.tlg013		first1k	1st1K-grc1	CC-BY-SA-4.0	10	7533	7506	not-ocr		logical-numeric	ref	1	38035fc2114c514e51ef251bab94955da8bae815358bf7fad9b438183c06216f
galenus.de-venereis-ap-oribasium	ogc001509	De Venereis (Ap. Oribasium)	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg035	tlg0057.tlg035		galenus_verbatim	1st1K-grc3	CC-BY-SA-4.0	3	583	541	not-ocr		logical-numeric	ref	1	02d0ae0ce90f5a066cb071c27b018a4bd3ab958040da0e75785c8e5ff435a140
galenus.de-victu-attenuante	ogc001510	De Victu Attenuante	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg019	tlg0057.tlg019		first1k	1st1K-grc1	CC-BY-SA-4.0	12	6484	6441	not-ocr		logical-numeric	ref	1	89503dcabd66d2c87a6120c33374d048085d9b5a23a21ae82cff3131d68cf8bf
galenus.in-arteriis-natura-sanguis-contineatur	ogc001511	An In Arteriis Natura Sanguis Contineatur	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg023	tlg0057.tlg023		first1k	1st1K-grc1	CC-BY-SA-4.0	8	4704	4678	not-ocr		logical-numeric	ref	1	b2cede79499116671fce3e6796f0ef999063f7ac545b81c6d69e0900991c43fa
galenus.in-hippocratis-aphorismos-commentarii-vii	ogc001512	In Hippocratis Aphorismos Commentarii Vii	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg092	tlg0057.tlg092		first1k	1st1K-grc1	CC-BY-SA-4.0	428	95955	95441	not-ocr		logical-numeric	ref.sub	2	6e6ad6860bd64cec88a149292b985154ca26b6362f36f4eede5fc7646427cb0a
galenus.in-hippocratis-de-natura-hominis-librum-commentarii-iii	ogc001513	In Hippocratis De Natura Hominis Librum Commentarii Iii	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg085	tlg0057.tlg085		first1k	1st1K-grc1	CC-BY-SA-4.0	97	24356	24241	not-ocr		mixed			d416c9ecf98fd55f16bf25dffebfbcd45cf60e83d562d1f222a5294bbcfad50e
galenus.in-hippocratis-de-victu-acutorum-commentaria-iv	ogc001514	In Hippocratis De Victu Acutorum Commentaria Iv	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg087	tlg0057.tlg087		first1k	1st1K-grc1	CC-BY-SA-4.0	277	66991	66587	not-ocr		logical-numeric	ref.sub	2	dd765ba7393a4c143e1113f356b7ee8d71d0e79509d11c4676f72a090a942059
galenus.in-hippocratis-librum-de-articulis-et-galeni-in-eum-commentarii-iv	ogc001515	In Hippocratis Librum De Articulis Et Galeni In Eum Commentarii Iv	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg095	tlg0057.tlg095		galenus_verbatim	1st1K-grc1	CC-BY-SA-4.0	331	61397	60917	not-ocr		logical-numeric	ref.sub	2	c78711456cd5a71c6a2a3f7690fff7fbae403d2b5a94ba394fd6b9172c31dc62
galenus.in-hippocratis-librum-de-fracturis-commentarii-iii	ogc001516	In Hippocratis Librum De Fracturis Commentarii Iii	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg100	tlg0057.tlg100		first1k	1st1K-grc1	CC-BY-SA-4.0	192	41658	41246	not-ocr		logical-numeric	ref.sub	2	85eb83ac9a2a6d257ed781d3b4ade1e9361f0948afd4168a697698cd1f88a77e
galenus.in-hippocratis-librum-de-officina-medici-commentarii-iii	ogc001517	In Hippocratis Librum De Officina Medici Commentarii Iii	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg101	tlg0057.tlg101		first1k	1st1K-grc1	CC-BY-SA-4.0	128	41021	40674	not-ocr		logical-numeric	ref.sub	2	1d2185f3608ee7608638ead5f08e197b3df3c82f478773fa518ebc028e11dd1b
galenus.in-hippocratis-librum-iii-epidemiarum-commentarii-iii	ogc001518	In Hippocratis Librum Iii Epidemiarum Commentarii Iii	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg090	tlg0057.tlg090		galenus_verbatim	1st1K-grc1	CC-BY-SA-4.0	194	41856	41807	not-ocr		logical-numeric	ref.sub	2	0595f7a9cc1259e07d4370b696b2f16371172d4bd4c60787637f95e6165aecab
galenus.in-hippocratis-librum-primum-epidemiarum-commentarii-iii	ogc001519	In Hippocratis Librum Primum Epidemiarum Commentarii Iii	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg089	tlg0057.tlg089		first1k	1st1K-grc1	CC-BY-SA-4.0	667	156270	155948	not-ocr		logical-numeric	ref.sub.sub	3	0984702eb33d0070d5f5cca03cc8232dbb9d0ee0cc9595e1861eba4204f422a8
galenus.in-hippocratis-librum-vi-epidemiarum-commentarii-vi	ogc001520	In Hippocratis Librum Vi Epidemiarum Commentarii Vi	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg091	tlg0057.tlg091		galenus_verbatim	1st1K-grc1	CC-BY-SA-4.0	303	75667	75642	not-ocr		logical-numeric	ref.sub	2	8fb9922e5902ac9f864d5c4a295a8c8b67520146e052ca72e2b0cd89ee1c0adf
galenus.in-hippocratis-prognosticum-commentaria-iii	ogc001521	In Hippocratis Prognosticum Commentaria Iii	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg099	tlg0057.tlg099		first1k	1st1K-grc1	CC-BY-SA-4.0	175	42832	42614	not-ocr		logical-numeric	ref.sub	2	682ce825604e8b65e1de8996d36e4e5db1b9491f9f0dc712eb99498e87a6b341
galenus.in-hippocratis-prorrheticum-i-commentaria-iii	ogc001522	In Hippocratis Prorrheticum I Commentaria Iii	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg088	tlg0057.tlg088		galenus_verbatim	1st1K-grc1	CC-BY-SA-4.0	186	45461	45104	not-ocr		logical-numeric	ref.sub	2	32c36f1bcf55e91280e1fe01703d6fe625617bc00e3a487c429c8b32f2856ff8
galenus.in-hippocratis-vel-polybi-opus-de-salubri-victus-ratione-privatorum-commentarius	ogc001523	In Hippocratis vel Polybi Opus de Salubri Victus Ratione Privatorum Commentarius	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg086	tlg0057.tlg086		first1k	1st1K-grc1	CC-BY-SA-4.0	34	6823	6752	not-ocr		logical-numeric	ref.sub	2	8ecb3a7e952bf498d5fe14a81698f9319b340f153aa31003caa58159d6513171
galenus.institutio-logica	ogc001524	Institutio Logica	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg081	tlg0057.tlg081		first1k	1st1K-grc1	CC-BY-SA-4.0	19	8554	8468	not-ocr		logical-numeric	ref	1	37ce3fabe46c17514c238eed4db27974fab3b0a7be9ec6e1ee5eb325f46383d1
galenus.linguarum-seu-dictionum-exoletarum-hippocratis-explicatio	ogc001525	Linguarum Seu Dictionum Exoletarum Hippocratis Explicatio	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg106	tlg0057.tlg106		galenus_verbatim	verbatim-grc1	CC-BY-SA-4.0	25	9562	8940	not-ocr		logical-numeric	ref.sub	2	26b5f055f6ff2c6c0e3b68c5f3517ebe5e1c2b0867e4d163fb09eac3c4287f50
galenus.pro-puero-epileptico-consilium	ogc001526	Pro Puero Epileptico Consilium	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg074	tlg0057.tlg074		first1k	1st1K-grc1	CC-BY-SA-4.0	6	3214	3191	not-ocr		logical-numeric	ref	1	507964a14c01fd94553d150f8bcaa4048d4d6c6cbfdefdce12c06695343918f1
galenus.quod-animi-mores-corporis-temperamenta-sequantur	ogc001527	Quod Animi Mores Corporis Temperamenta Sequantur	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg027	tlg0057.tlg027	Q92448217	first1k	1st1K-grc1	CC-BY-SA-4.0	11	8365	8332	not-ocr		logical-numeric	ref	1	900663541839c25c4526d03bb6f9e9b95c9b810de7bd3939c90ba684cc6ad0ff
galenus.quod-optimus-medicus-sit-quoque-philosophus	ogc001528	Quod Optimus Medicus Sit Quoque Philosophus	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg003	tlg0057.tlg003		first1k	1st1K-grc1	CC-BY-SA-4.0	4	1382	1374	not-ocr		logical-numeric	ref	1	1c68fdc01c6d80c68dc2e304470118b3ce19b561bc952a8891e5286ebd5ba87a
galenus.quod-qualitates-incorporeae-sint	ogc001529	Quod Qualitates Incorporeae Sint	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg111	tlg0057.tlg111		galenus_verbatim	verbatim-grc1	CC-BY-SA-4.0	9	3212	3183	not-ocr		logical-numeric	ref	1	7d10aa093e7b0fba7f1e4f8f5d6484db3e5a1b7a74ad53b2c62098bed39ae0c2
galenus.quomodo-morborum-simulantes-sint-deprehendendi	ogc001530	Quomodo Morborum Simulantes Sint Deprehendendi	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg115	tlg0057.tlg115		galenus_verbatim	verbatim-grc1	CC-BY-SA-4.0	1	851	836	not-ocr		logical-numeric	ref	1	08af292bc629d0bd2ad38c5369c26de0ca3105a2f9b87dc570d16b5fda8b71d8
