slug	work_id	title	author	author_id	cts_urn	tlg	wikidata	source	edition	license	passages	tokens	tokens_lemmatized	correction	unattested_rate	scheme_class	scheme	scheme_depth	sha256
abas.fragmenta	ogc000001	Fragmenta	abas	oga000001				dfhg	dfhg	CC-BY-SA-4.0	1	83	74	not-ocr		logical-numeric	ref.sub	2	5d7ea2b5cba7e8379a7bc6fa4edb60738f620694265a9f2ed4ec1507d4c6fe86
abron-vel-habron-batiensis.fragmenta	ogc000002	Fragmenta	abron-vel-habron-batiensis	oga000002				dfhg	dfhg	CC-BY-SA-4.0	1	16	16	not-ocr		logical-numeric	ref.sub	2	10801392fc846c19e187613642fc2aa500a0a8962c6dd1935580578714edbd45
abydenus.fragmenta	ogc000003	Fragmenta	Abydenus	oga000003	urn:cts:greekLit:tlg0116.tlg001	tlg0116.tlg001		dfhg	dfhg	CC-BY-SA-4.0	6	712	684	not-ocr		mixed			f4d02e7d03445d35ecebdff0e1bd7add055592cbf061b43d4e3ebf3ada02a214
acesander.fragmenta	ogc000004	Fragmenta	Acesander	oga000004	urn:cts:greekLit:tlg1832.tlg001	tlg1832.tlg001		dfhg	dfhg	CC-BY-SA-4.0	7	323	318	not-ocr		logical-numeric	ref.sub	2	831f652217f1d0482a3536da9206b34f7a7eb47061b88f7b117a473452c9891a
achaeus.fragmenta	ogc000005	Fragmenta	Achaeus	oga000005	urn:cts:greekLit:tlg0309.tlg001	tlg0309.tlg001		ocr	nauck-tgf-ocr-frag	PD	52	1396	1374	raw-ocr	0.272532	logical-numeric	ref	1	c780c73066dd7e2843437fe6111fea5ca2c0368a8d389fc84a744471947b157f
achaeus.fragmenta-fhg4	ogc000006	Fragmenta	Achaeus	oga000005				dfhg	dfhg	CC-BY-SA-4.0	1	74	74	not-ocr		logical-numeric	ref.sub	2	1a6c7156b82868c54b92780369049af22f6fca6995d5e0bf794498b75a626df3
achilles-tatius-scr-erot.leucippe-et-clitophon	ogc000007	Leucippe Et Clitophon	Achilles Tatius	oga000006	urn:cts:greekLit:tlg0532.tlg001	tlg0532.tlg001	Q1225163	perseus	perseus-grc2	CC-BY-SA-4.0	1035	41517	41247	not-ocr		logical-numeric	ref.sub.sub	3	792a7c109bf1d887b0f7a21264b39864ac8fa1a45368bd783acdc8b5c7f31014
acta-barnabae.acta-barnabae	ogc000008	Acta Barnabae	Acta Barnabae	oga000007	urn:cts:greekLit:tlg2949.tlg001	tlg2949.tlg001		first1k	1st1K-grc1	CC-BY-SA-4.0	26	2152	2111	not-ocr		logical-numeric	ref	1	ccd2bf2964214f1766ef7560bee599604769b0f76b1e03c39ece11812eeba806
acta-joannis.acta-joannis	ogc000009	Acta Joannis	Acta Joannis	oga000008	urn:cts:greekLit:tlg0317.tlg001	tlg0317.tlg001		first1k	1st1K-grc1	CC-BY-SA-4.0	110	12397	12122	not-ocr		logical-numeric	ref	1	00c8f86856118b9068978f6e786832479b4495957332dd94e4ad9a341a8f6f52
acta-joannis.acta-joannis-recensio	ogc000010	Acta Joannis (Recensio)	Acta Joannis	oga000008	urn:cts:greekLit:tlg0317.tlg002	tlg0317.tlg002		first1k	1st1K-grc1	CC-BY-SA-4.0	35	2484	2442	not-ocr		logical-numeric	ref	1	54fb12e1801233fcfb094dea7c69e838b1fb684302d551c8347411d8ab06992b
acta-justini-et-septem-sodalium.acta-justini-et-septem-sodalium-recensio-b	ogc003677	Acta Justini Et Septem Sodalium (Recensio B)	Acta Justini Et Septem Sodalium	oga001433	urn:cts:greekLit:tlg0384.tlg002	tlg0384.tlg002		cgpg	cgpg	CC-BY-4.0	3	653	628	auto-corrected	0.070640	mixed			0b16ef7e7731e91334d12b8a59613b2840f4a073e1168d1ad32e9ce42ad28ef5
acta-philippi.acta-philippi	ogc000011	Acta Philippi	Acta Philippi	oga000009	urn:cts:greekLit:tlg2948.tlg001	tlg2948.tlg001		first1k	1st1K-grc1	CC-BY-SA-4.0	148	16065	15885	not-ocr		logical-numeric	ref	1	1fbb6b70a062fc02f09666c85be44ff3b7bc98b9992cb902674f51a666636ca1
acta-thomae.acta-thomae	ogc000012	Acta Thomae	Acta Thomae	oga000010	urn:cts:greekLit:tlg2038.tlg001	tlg2038.tlg001		first1k	1st1K-grc1	CC-BY-SA-4.0	170	28852	28307	not-ocr		logical-numeric	ref	1	7371b9b7933bc68a7a91e2c73b29535a817a94c51444d950d03363d087ec06a1
acusilaus.testimonia	ogc000013	Testimonia	Acusilaus	oga000011	urn:cts:greekLit:tlg0392.tlg001	tlg0392.tlg001		dfhg	dfhg	CC-BY-SA-4.0	38	1116	1089	not-ocr		logical-numeric	ref.sub	2	d6b6f7617c0b1215e84091ec607e4ab4dd2f2734003d676a11d2d835bed350fa
acusilaus.testimonia-2	ogc000014	Testimonia	Acusilaus	oga000011	urn:cts:greekLit:tlg0392.tlg003	tlg0392.tlg003		ocr	qwen36-nausiphanes_diels_fvs2	PD	9	456	446	auto-corrected	0.106762	edition-prefixed			e1d14741e56f723599305824f220e7b3563b31942c581a4dc90bbde9bf9914c8
adamantius-judaeus.physiognomonica	ogc000015	Physiognomonica	Adamantius Judaeus	oga000012	urn:cts:greekLit:tlg0731.tlg001	tlg0731.tlg001		first1k	1st1K-grc1	CC-BY-SA-4.0	86	8085	7911	not-ocr		logical-numeric	ref.sub	2	ec6e279986d6de80a7418824268f6456f50c1afe6c1de2912571d2dfb1d00266
adamantius-judaeus.physiognomonica-epitome-matritensis	ogc000016	Physiognomonica (Epitome Matritensis)	Adamantius Judaeus	oga000012	urn:cts:greekLit:tlg0731.tlg003	tlg0731.tlg003		first1k	1st1K-grc1	CC-BY-SA-4.0	44	3520	3465	not-ocr		logical-numeric	ref.sub	2	5ebc7db6c582f533e0401dcc3ed20e55d967b49f1b4d6b3933afa9893f44f273
adrianus-rhetor.meletai	ogc003891		adrianus-rhetor	oga001492				ocr	qwen36-walz_rhetores_v1	PD	35	1501	1459	auto-corrected	0.113311	logical-numeric	ref.sub	2	62778331fae6e5c3eac16c5889e61cfea054cffea10f1092d1db733ded872288
adrianus.declamatio	ogc000017	Declamatio	Adrianus	oga000013	urn:cts:greekLit:tlg0666.tlg001	tlg0666.tlg001		first1k	1st1K-grc1	CC-BY-SA-4.0	1	260	257	not-ocr		logical-numeric	ref	1	08088f7920c6d636b42218567e120ac3acf9907267133cfa862563ecbbfa8118
aelius-aristides.ai-gu-ptios	ogc000018	Αἰγύπτιος	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg048	tlg0284.tlg048		perseus	perseus-grc2	CC-BY-SA-4.0	34	10757	10719	not-ocr		logical-numeric	ref	1	febe347ba8f1790e4c7d79d7cb627e28ebc0b3e2f2f71e5e036c84c5cb852aba
aelius-aristides.apella-geneqliako-s	ogc000019	Ἀπελλᾶ γενεθλιακός	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg010	tlg0284.tlg010		perseus	perseus-grc2	CC-BY-SA-4.0	8	2080	2066	not-ocr		logical-numeric	ref	1	7afd0e24b8c8f39eab009b0be2e1169d739daa644d908eec20ddda6c033af1e6
aelius-aristides.aqhna	ogc000020	Ἀθηνᾶ	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg002	tlg0284.tlg002		perseus	perseus-grc2	CC-BY-SA-4.0	9	2247	2236	not-ocr		logical-numeric	ref	1	b2da681e942bb6e77a920354bcf6039ae0ba00b522a730f7780a66bad908aa99
aelius-aristides.ars-rhetorica-sp	ogc000021	Ars Rhetorica Sp.	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg056	tlg0284.tlg056		perseus	perseus-grc2	CC-BY-SA-4.0	235	22689	22572	not-ocr		logical-numeric	ref.sub.sub.sub	4	af95b0799c2f61f3b47cf16a4bc06f350f6c8ce71b4e8529ad253b9cd9607f34
aelius-aristides.asklhpia-dai	ogc000022	Ἀσκληπιάδαι	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg007	tlg0284.tlg007		perseus	perseus-grc2	CC-BY-SA-4.0	6	1510	1500	not-ocr		logical-numeric	ref	1	726fb65652b8621e202c3bb95d6a1b24daf8fdbe7ce2616c4162c41787e516d5
aelius-aristides.dio-nusos	ogc000023	Διόνυσος	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg004	tlg0284.tlg004		perseus	perseus-grc2	CC-BY-SA-4.0	4	752	745	not-ocr		logical-numeric	ref	1	f6114a0898cc16395438c5103be4e0d375c423763353a684b0781a05a8f86a45
aelius-aristides.ei-s-ai-gai-on-pe-lagos	ogc000024	Εἰς τὸ Αἰγαῖον πέλαγος	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg017	tlg0284.tlg017		perseus	perseus-grc2	CC-BY-SA-4.0	5	1159	1147	not-ocr		logical-numeric	ref	1	5bea28e9d5334930f78fce853fd1b2ee241d68fffdc0a7a3cf255e86b1fa1537
aelius-aristides.ei-s-basile-sp	ogc000025	Εἰς βασιλέα [Sp.]	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg009	tlg0284.tlg009		perseus	perseus-grc2	CC-BY-SA-4.0	12	2853	2847	not-ocr		logical-numeric	ref	1	4f16758c7433fa8795dffe003493dee64456a9d5d710b95fbc155163633c4646
aelius-aristides.ei-s-di	ogc000026	Εἰς Δία	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg001	tlg0284.tlg001		perseus	perseus-grc2	CC-BY-SA-4.0	8	2019	2010	not-ocr		logical-numeric	ref	1	9b69b87baca72177f8079aeab43732f208577e2564891a0eb55ae7a8b3faa207
aelius-aristides.ei-s-e-nanti-on	ogc000027	Εἰς τὸ ἐναντίον	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg030	tlg0284.tlg030		perseus	perseus-grc2	CC-BY-SA-4.0	16	4399	4368	not-ocr		logical-numeric	ref	1	9ae8c4d722bd07f6f4dac407fa3a2ca1aa3e12a77448bed5c8ce657bdbdda276
aelius-aristides.ei-s-etewne-e-pikh-deios	ogc000028	Εἰς Ἐτεωνέα ἐπικήδειος	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg011	tlg0284.tlg011		perseus	perseus-grc2	CC-BY-SA-4.0	6	1285	1278	not-ocr		logical-numeric	ref	1	296e00e7ce88da6d650554ddef9b4f94ff880c67c6351064949348f21566b79e
aelius-aristides.ei-s-fre-ar-tou-asklhpiou	ogc000029	Εἰς τὸ φρέαρ τοῦ Ἀσκληπιοῦ	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg018	tlg0284.tlg018		perseus	perseus-grc2	CC-BY-SA-4.0	5	1261	1247	not-ocr		logical-numeric	ref	1	57838a113c4e53bcc7f1d581a94906d6eb64e320dfcee5a17fe2f78820b0b414
aelius-aristides.ei-s-n-sa-rapin	ogc000030	Εἰς τὸν Σάραπιν	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg008	tlg0284.tlg008		perseus	perseus-grc2	CC-BY-SA-4.0	10	2610	2597	not-ocr		logical-numeric	ref	1	c6015a5e07d19e1ae13f9cdc1c5927db20bc6b20c30a64a5b8b0690c13dcab06
aelius-aristides.eleusi-nios	ogc000031	Ἐλευσίνιος	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg019	tlg0284.tlg019		perseus	perseus-grc2	CC-BY-SA-4.0	5	1015	1003	not-ocr		logical-numeric	ref	1	a41d45fa5593bd6eda1ebc6af058d96bb80514f0e96304419d84f28f9db672b9
aelius-aristides.epi-aleca-ndrw-e-pita-fios	ogc000032	Ἐπὶ Ἀλεξάνδρῳ ἐπιτάφιος	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg012	tlg0284.tlg012		perseus	perseus-grc2	CC-BY-SA-4.0	11	2736	2728	not-ocr		logical-numeric	ref	1	01a56b985ca1acfeb3ff3ff131eef4cde4234a0146359d0af10706f296544d54
aelius-aristides.epistolh-peri-smu-rnhs	ogc000033	Ἐπιστολὴ περὶ Σμύρνης	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg041	tlg0284.tlg041		perseus	perseus-grc2	CC-BY-SA-4.0	5	1182	1177	not-ocr		logical-numeric	ref	1	d122b71eaa09cfb79a4c0ea39d39dfc4c2917d52bbeedf2adeddba7ab3bbab9b
aelius-aristides.hraklh-s	ogc000034	Ἡρακλῆς	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg005	tlg0284.tlg005		perseus	perseus-grc2	CC-BY-SA-4.0	6	1485	1477	not-ocr		logical-numeric	ref	1	f76a1f5282e5404c84a81446fc79a6eeba93a56b90ea70d8ef048e28c95fa561
aelius-aristides.ieroi-lo-goi	ogc000035	Ἱεροὶ λόγοι A#	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg023	tlg0284.tlg023		perseus	perseus-grc2	CC-BY-SA-4.0	18	5173	5128	not-ocr		logical-numeric	ref	1	34df51914fe5c3cca4fc6f9d29a8404238711a58d348b46db9635741665c4a9f
aelius-aristides.ieroi-lo-goi-b	ogc000036	Ἱεροὶ λόγοι B#	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg024	tlg0284.tlg024		perseus	perseus-grc2	CC-BY-SA-4.0	19	5742	5696	not-ocr		logical-numeric	ref	1	3979f03f94fe1ddf95ce98547c5f182f607696fe6f004964fa97160371c172f2
aelius-aristides.ieroi-lo-goi-d	ogc000037	Ἱεροὶ λόγοι D#	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg026	tlg0284.tlg026		perseus	perseus-grc2	CC-BY-SA-4.0	26	7943	7876	not-ocr		logical-numeric	ref	1	d9774964c2a429ebac918b33e51af6712f5af9f7a84eb2f1ede89b6664facc37
aelius-aristides.ieroi-lo-goi-e	ogc000038	Ἱεροὶ λόγοι E#	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg027	tlg0284.tlg027		perseus	perseus-grc2	CC-BY-SA-4.0	15	4436	4395	not-ocr		logical-numeric	ref	1	c6c12079d7374f6f67c4a102f549c1d13e3fb12ca0393efba9ca199884e2d9f2
aelius-aristides.ieroi-lo-goi-g	ogc000039	Ἱεροὶ λόγοι G#	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg025	tlg0284.tlg025		perseus	perseus-grc2	CC-BY-SA-4.0	12	3472	3442	not-ocr		logical-numeric	ref	1	adf867058f3455acb7cd5e9f4b4ba670367d4ca0187615ea4589fc875ef44c43
aelius-aristides.ieroi-lo-goi-s	ogc000040	Ἱεροὶ λόγοι S#	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg028	tlg0284.tlg028		perseus	perseus-grc2	CC-BY-SA-4.0	1	130	130	not-ocr		logical-numeric	ref	1	792317fb3da61cf6c65ebffddd205cc4460fa88b4ecbff12c7a3d212f5b0e8ca
aelius-aristides.isqmiko-s-ei-s-poseidw-na	ogc000041	Ἰσθμικὸς εἰς Ποσειδῶνα	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg003	tlg0284.tlg003		perseus	perseus-grc2	CC-BY-SA-4.0	12	3401	3371	not-ocr		logical-numeric	ref	1	2988123114c81ee84389c65516525c35ffa9e2e0b93c5b39d965bcb578c0be69
aelius-aristides.kata-tw-n-e-corxoume-nwn	ogc000042	Κατὰ τῶν ἐξορχουμένων	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg050	tlg0284.tlg050		perseus	perseus-grc2	CC-BY-SA-4.0	16	4074	4050	not-ocr		logical-numeric	ref	1	057535e52884f9ab17b6a653f148a2f43ef3549391af39a2b8c1a8c0f7f98e3c
aelius-aristides.lalia-ei-s-asklhpio-n	ogc000043	Λαλιὰ εἰς Ἀσκληπιόν	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg006	tlg0284.tlg006		perseus	perseus-grc2	CC-BY-SA-4.0	5	1204	1199	not-ocr		logical-numeric	ref	1	d97f276bb72490a5a7cbb8094dd1f6df8cc37f35bedba613d2340868e1c697af
aelius-aristides.leuktriko-s-b-u-pe-r-qhbai-wn-prw-tos	ogc000044	Λευκτρικὸς B# (ὑπὲρ Θηβαίων πρῶτος)	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg034	tlg0284.tlg034		perseus	perseus-grc2	CC-BY-SA-4.0	21	6012	5966	not-ocr		logical-numeric	ref	1	85d61a7d7f746b8fb80107a59e686f86bf24f01ea38a85bf8673986d7e545841
aelius-aristides.leuktriko-s-d-u-pe-r-qhbai-wn-deu-teros	ogc000045	Λευκτρικὸς D# (ὑπὲρ Θηβαίων δεύτερος)	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg036	tlg0284.tlg036		perseus	perseus-grc2	CC-BY-SA-4.0	9	2442	2424	not-ocr		logical-numeric	ref	1	11744156358119df46b6f034bbe0efde2a77c33ab3c1684f8970938d6a3e6bec
aelius-aristides.leuktriko-s-e-u-pe-r-mhdete-rois-bohqei-n	ogc000046	Λευκτρικὸς E# (ὑπὲρ μηδετέροις βοηθεῖν)	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg037	tlg0284.tlg037		perseus	perseus-grc2	CC-BY-SA-4.0	12	3178	3156	not-ocr		logical-numeric	ref	1	5ba645c8eedd6a1b9cffb036098ebdf581524b8805055022730954129312d931
aelius-aristides.leuktriko-s-g-u-pe-r-lakedaimoni-wn-deu-teros	ogc000047	Λευκτρικὸς G# (ὑπὲρ Λακεδαιμονίων δεύτερος)	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg035	tlg0284.tlg035		perseus	perseus-grc2	CC-BY-SA-4.0	10	2593	2573	not-ocr		logical-numeric	ref	1	43b2537e226d8c2e86ff78348ce5309a2205723db4a072345cd97e89699d62af
aelius-aristides.leuktriko-s-u-pe-r-lakedaimoni-wn-prw-tos	ogc000048	Λευκτρικὸς A# (ὑπὲρ Λακεδαιμονίων πρῶτος)	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg033	tlg0284.tlg033		perseus	perseus-grc2	CC-BY-SA-4.0	20	5696	5658	not-ocr		logical-numeric	ref	1	75f0ad67d464f732290d1dc3f4b0cd7047eeedbb6f8ad0371d6aaaa3b4304ed8
aelius-aristides.monw-di-e-pi-smu-rnh	ogc000049	Μονῳδία ἐπὶ Σμύρνῃ	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg020	tlg0284.tlg020		perseus	perseus-grc2	CC-BY-SA-4.0	4	725	720	not-ocr		logical-numeric	ref	1	12cfc96b21263562e31fe9a74e21f67a0513032da99da973df1620cbebbae2d2
aelius-aristides.palinw-di-e-pi-smu-rnh-kai-tw-tau-ths-noikismw	ogc000050	Παλινῳδία ἐπὶ Σμύρνῃ καὶ τῷ ταύτης ἀνοικισμῷ	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg021	tlg0284.tlg021		perseus	perseus-grc2	CC-BY-SA-4.0	7	1660	1650	not-ocr		logical-numeric	ref	1	7290e24e71fe8bb43c2d76cc723754902fcdccb191fd02158966947c7fb07959
aelius-aristides.panaqhnai-ko-s	ogc000051	Παναθηναϊκός	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg013	tlg0284.tlg013		perseus	perseus-grc2	CC-BY-SA-4.0	107	28660	28567	not-ocr		logical-numeric	ref	1	616bcf3ad8755ae4c4b368040f801b6b7ea686ce866128b3f69d9e3d6c3c851d
aelius-aristides.panhguriko-s-e-n-kuzi-kw-peri-tou-naou	ogc000052	Πανηγυρικὸς ἐν Κυζίκῳ περὶ τοῦ ναοῦ	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg016	tlg0284.tlg016		perseus	perseus-grc2	CC-BY-SA-4.0	12	3215	3208	not-ocr		logical-numeric	ref	1	4ccc485d29789c7b00143e9ee98bea8dc477d941c9ba59dff1a915c7aa9fe6d0
aelius-aristides.panhguriko-s-e-pi-tw-u-dati-e-n-perga-mw	ogc000053	Πανηγυρικὸς ἐπὶ τῷ ὕδατι ἐν Περγάμῳ	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg055	tlg0284.tlg055		perseus	perseus-grc2	CC-BY-SA-4.0	1	362	362	not-ocr		logical-numeric	ref	1	8890c6d6552dccd6a32d89fca2d2a5cac6c034f57e3c3495f1a3c04b4629fd61
aelius-aristides.peri-o-monoi-as-tai-s-po-lesin	ogc000054	Περὶ ὁμονοίας ταῖς πόλεσιν	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg042	tlg0284.tlg042		perseus	perseus-grc2	CC-BY-SA-4.0	22	6427	6400	not-ocr		logical-numeric	ref	1	066c01da4e345b50f95113484fecbffbcd37373b4e3d4f84749e3caaf5a06742
aelius-aristides.peri-tou-parafqe-gmatos	ogc000055	Περὶ τοῦ παραφθέγματος	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg049	tlg0284.tlg049		perseus	perseus-grc2	CC-BY-SA-4.0	37	11195	11133	not-ocr		logical-numeric	ref	1	08f21a9e53d146e8d396ecdadd98b7c7c0f58606c05c2ff52bb137812919ba67
aelius-aristides.peri-tou-pe-mpein-boh-qeian-toi-s-e-n-sikeli	ogc000056	Περὶ τοῦ πέμπειν βοήθειαν τοῖς ἐν Σικελίᾳ	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg029	tlg0284.tlg029		perseus	perseus-grc2	CC-BY-SA-4.0	13	3781	3759	not-ocr		logical-numeric	ref	1	6be8b53417d380e45118dd271f1baad7ea75c1b2372b1bd7349ab3e8fc0670ad
aelius-aristides.presbeutiko-s-pro-s-axille	ogc000057	Πρεσβευτικὸς πρὸς Ἀχιλλέα	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg052	tlg0284.tlg052		perseus	perseus-grc2	CC-BY-SA-4.0	13	3439	3424	not-ocr		logical-numeric	ref	1	c1aeb89d145e38d1436e110cc34f14479245012580d938a194c9c112c7896f05
aelius-aristides.pro-s-dhmosqe-nh-peri-telei-as	ogc000058	Πρὸς Δημοσθένη περὶ ἀτελείας	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg053	tlg0284.tlg053		perseus	perseus-grc2	CC-BY-SA-4.0	33	8964	8920	not-ocr		logical-numeric	ref	1	43d71382da9b1a16df788e2952fb58f11513cb31e0b43513b0fac9f2efdd414b
aelius-aristides.pro-s-kapi-twna	ogc000059	Πρὸς Καπίτωνα	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg047	tlg0284.tlg047		perseus	perseus-grc2	CC-BY-SA-4.0	16	4283	4271	not-ocr		logical-numeric	ref	1	4b0c0c797b5f3f279330f6a4a8aa0d158c40ee30903c8b3fd8f3036019cc3ccf
aelius-aristides.pro-s-lepti-nhn-u-pe-r-telei-as	ogc000060	Πρὸς Λεπτίνην ὑπὲρ ἀτελείας	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg054	tlg0284.tlg054		perseus	perseus-grc2	CC-BY-SA-4.0	93	10899	10851	not-ocr		logical-numeric	ref	1	31565b092392aad8e31e43ffdf02d9122f97ccda0070cf8d16e0e670a9bd1f99
aelius-aristides.pro-s-pla-twna-peri-r-htorikh-s	ogc000061	Πρὸς Πλάτωνα περὶ ῥητορικῆς	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg045	tlg0284.tlg045		perseus	perseus-grc2	CC-BY-SA-4.0	115	30053	29978	not-ocr		logical-numeric	ref	1	b2438ecaea53da1452cea804a923484e56fb08b1b71899bd55e9d9442ebf9cfa
aelius-aristides.pro-s-pla-twna-u-pe-r-tw-n-tetta-rwn	ogc000062	Πρὸς Πλάτωνα ὑπὲρ τῶν τεττάρων	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg046	tlg0284.tlg046		perseus	perseus-grc2	CC-BY-SA-4.0	200	52223	52063	not-ocr		logical-numeric	ref	1	f55165e23fe3d7de4ceb9e70bfd8307dfc6ca61599ca68e336e3e17a9a34ade1
aelius-aristides.pro-s-tou-s-ai-tiwme-nous-o-ti-mh-meletw-h	ogc000063	Πρὸς τοὺς αἰτιωμένους ὅτι μὴ μελετῴη	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg051	tlg0284.tlg051		perseus	perseus-grc2	CC-BY-SA-4.0	9	2231	2218	not-ocr		logical-numeric	ref	1	aaebb4d1d87393d01d1bb87bfcb9a83bff4407762a6b9e5ec90d475cffa7d7f9
aelius-aristides.prosfwnhtiko-s-smurnai-ko-s	ogc000064	Προσφωνητικός Σμυρναϊκός	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg022	tlg0284.tlg022		perseus	perseus-grc2	CC-BY-SA-4.0	5	1105	1099	not-ocr		logical-numeric	ref	1	0f49958291365c427faf17d6a68e6ee37cf3ae84778ccde8db8ddb45a01e6588
aelius-aristides.rodi-ois-peri-o-monoi-as	ogc000065	Ῥοδίοις περὶ ὁμονοίας	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg044	tlg0284.tlg044		perseus	perseus-grc2	CC-BY-SA-4.0	16	4325	4303	not-ocr		logical-numeric	ref	1	689500028c96d77a5fed37ef4937bdd79ab6de0fc455c6fbc9939b20ef23fa4f
aelius-aristides.rodiako-s-sp	ogc000066	Ῥοδιακός [Sp.]	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg043	tlg0284.tlg043		perseus	perseus-grc2	CC-BY-SA-4.0	19	5238	5188	not-ocr		logical-numeric	ref	1	985aac85500e331145cfe9ff34cb1e3f24bcc2d2f7ecb3fbc3b446f52383862d
aelius-aristides.rw-mhs-e-gkw-mion	ogc000067	Ῥώμης ἐγκώμιον	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg014	tlg0284.tlg014		perseus	perseus-grc2	CC-BY-SA-4.0	32	8378	8318	not-ocr		logical-numeric	ref	1	31986c1066c157f50890aea984142e4bf40fffe726ae77946e7a07950aba82a8
aelius-aristides.smurnai-ko-s-politiko-s	ogc000068	Σμυρναϊκὸς πολιτικός	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg015	tlg0284.tlg015		perseus	perseus-grc2	CC-BY-SA-4.0	7	1855	1840	not-ocr		logical-numeric	ref	1	36a9b88379f12ea5453ebbc49c2a3b57a14fe962414903be74bea017a0aeab3e
aelius-aristides.sumbouleutiko-s-peri-tou-mh-dei-n-kwmw-dei-n	ogc000069	Συμβουλευτικὸς περὶ τοῦ μὴ δεῖν κωμῳδεῖν	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg040	tlg0284.tlg040		perseus	perseus-grc2	CC-BY-SA-4.0	9	2107	2096	not-ocr		logical-numeric	ref	1	d9c167de64eab52f6c3684dd5feb96d2226c744806fac6df96bdcf1a37a941d4
aelius-aristides.summaxiko-s	ogc000070	Συμμαχικὸς A#	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg038	tlg0284.tlg038		perseus	perseus-grc2	CC-BY-SA-4.0	14	3958	3926	not-ocr		logical-numeric	ref	1	9861aaf76b4e281f8794f55485089673f18d6dcef894193eb618616353819e1d
aelius-aristides.summaxiko-s-b-pro-s-qhbai-ous-peri-th-s-summaxi-as	ogc000071	Συμμαχικὸς B# (πρὸς Θηβαίους περὶ τῆς συμμαχίας)	Aelius Aristides	oga000014	urn:cts:greekLit:tlg0284.tlg039	tlg0284.tlg039		perseus	perseus-grc2	CC-BY-SA-4.0	15	4159	4122	not-ocr		logical-numeric	ref	1	f14af9b9e609c01033e587c52d0756a630146aebfb5596398e69665f71deff02
